Bairros;Valores;Informações;Descricao
"Blumenau, Progresso
Cód.: 772";R$ 750.000,00;"4 quartos
2 vagas
200,0 m²";Casa no Bairro Progresso em Blumenau com 4 Dormitórios e 200 m² - 772
"Blumenau, Vila Nova
Cód.: CA0135";R$ 1.500.000,00;"4 quartos
2 suítes
2 vagas
339,0 m²";Casa no Bairro Vila Nova em Blumenau com 4 Dormitórios (2 suítes) e 339 m² - CA0135
"Blumenau, Velha Central
Cód.: 36649";R$ 1.500.000,00;"3 quartos
1 suíte
6 vagas
500,0 m²";Casa no Bairro Velha Central em Blumenau com 3 Dormitórios (1 suíte) e 500 m² - 36649
"Blumenau, Velha
Cód.: AP1379";R$ 300.000,00;"2 quartos
1 suíte
1 vaga
67,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 67 m² - AP1379
"Blumenau, Velha
Cód.: 1693";R$ 425.000,00;"2 quartos
1 suíte
2 vagas
74,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (1 suíte) e 74 m² - 1693
"Blumenau, Itoupava Seca
Cód.: AP2146";R$ 200.200,00;"1 quarto
1 suíte
1 vaga
23,6 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 1 Dormitórios (1 suíte) e 23.6 m² - AP2146
"Blumenau, Vila Nova
Cód.: AAAAA";R$ 639.000,00;"3 quartos
1 suíte
1 vaga
125,9 m²";Casa no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 125.91 m² - AAAAA
"Blumenau, Velha
Cód.: 1981";R$ 1.299.000,00;"3 quartos
3 suítes
3 vagas
440,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 440 m² - 1981
"Blumenau, Ribeirão Fresco
Cód.: 3980057";R$ 350.000,00;"2 quartos
2 suítes
70,0 m²";Casa no Bairro Ribeirão Fresco em Blumenau com 2 Dormitórios (2 suítes) e 70 m² - 3980057
"Blumenau, Salto Norte
Cód.: 1784";R$ 300.000,00;"1 quarto
1 suíte
1 vaga
52,0 m²";Casa no Bairro Salto Norte em Blumenau com 1 Dormitórios (1 suíte) e 52 m² - 1784
